candidate_id,canonical_name,english_name,aliases,type,family,primary_domain,subdomain,priority,knowledge_level,stability,dependencies,reserve_status,activation_rule
candidate-mathematical-induction,Mathematical Induction,Mathematical Induction,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-probability-theory,Probability Theory,Probability Theory,,model,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-combinatorics,Combinatorics,Combinatorics,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-finite-state-machine,Finite State Machine,Finite State Machine,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-teoria-modelos-computacion,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-algorithm-correctness,Algorithm Correctness,Algorithm Correctness,,concept,ideas-orientations,domain-fundamentos-computacion,subdomain-algoritmos-estructuras-datos,important,contextual-understanding,slow-evolution,entity-computacion,reserved,one-for-one replacement only
candidate-direct-memory-access,Direct Memory Access,Direct Memory Access,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-memory-mapped-i-o,Memory-Mapped I/O,Memory-Mapped I/O,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-reduced-instruction-set-computer,Reduced Instruction Set Computer,Reduced Instruction Set Computer,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-complex-instruction-set-computer,Complex Instruction Set Computer,Complex Instruction Set Computer,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-field-programmable-gate-array,Field-Programmable Gate Array,Field-Programmable Gate Array,,concept,ideas-orientations,domain-sistemas-computo-ciberfisicos,subdomain-embebidos-firmware,important,contextual-understanding,slow-evolution,entity-sistema-de-computo,reserved,one-for-one replacement only
candidate-webassembly,WebAssembly,WebAssembly,,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-web-worker,Web Worker,Web Worker,,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-template-engine,Template Engine,Template Engine,,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-package-manager,Package Manager,Package Manager,,role,people-capabilities,domain-desarrollo-software,subdomain-practicas-implementacion,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-linter,Linter,Linter,,concept,ideas-orientations,domain-desarrollo-software,subdomain-practicas-implementacion,important,contextual-understanding,slow-evolution,entity-programacion,reserved,one-for-one replacement only
candidate-event-storming,Event Storming,Event Storming,,concept,ideas-orientations,domain-ingenieria-software,subdomain-diseno-arquitectura-software,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-architecture-fitness-function,Architecture Fitness Function,Architecture Fitness Function,,concept,ideas-orientations,domain-ingenieria-software,subdomain-diseno-arquitectura-software,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
candidate-chaos-engineering,Chaos Engineering,Chaos Engineering,,process,ways-of-working,domain-ingenieria-software,subdomain-calidad-pruebas,important,contextual-understanding,slow-evolution,entity-software,reserved,one-for-one replacement only
