candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-cybersecurity,Cybersecurity,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-information-security,Information Security,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-security-architecture,Security Architecture,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-security-control,Security Control,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-security-policy,Security Policy,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-security-standard,Security Standard,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-asset,Asset,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-attack,Attack,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-082-expansion-wave-06-05
candidate-exploit,Exploit,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-threat-actor,Threat Actor,role,people-capabilities,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-attack-vector,Attack Vector,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-attack-surface,Attack Surface,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-defense-in-depth,Defense in Depth,principle,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-security-engineer,Security Engineer,role,people-capabilities,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,essential,wave-06,batch-083-expansion-wave-06-06
candidate-trust-boundary,Trust Boundary,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-security-domain,Security Domain,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-secure-by-design,Secure by Design,principle,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-secure-by-default,Secure by Default,principle,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-risk-assessment,Risk Assessment,process,ways-of-working,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-security-requirement,Security Requirement,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-083-expansion-wave-06-06
candidate-security-posture,Security Posture,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,important,wave-06,batch-084-expansion-wave-06-07
candidate-security-model,Security Model,model,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-fundamentos-arquitectura-seguridad,specialized,wave-06,batch-084-expansion-wave-06-07
candidate-identity-and-access-management,Identity and Access Management,process,ways-of-working,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-digital-identity,Digital Identity,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-authentication,Authentication,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-authorization,Authorization,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-credential,Credential,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-password,Password,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-passwordless-authentication,Passwordless Authentication,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-multi-factor-authentication,Multi-Factor Authentication,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-single-sign-on,Single Sign-On,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-federated-identity,Federated Identity,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-06,batch-084-expansion-wave-06-07
candidate-identity-provider,Identity Provider,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-07,batch-085-expansion-wave-07-01
candidate-service-provider,Service Provider,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-07,batch-085-expansion-wave-07-01
candidate-access-control,Access Control,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,essential,wave-07,batch-085-expansion-wave-07-01
candidate-role-based-access-control,Role-Based Access Control,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,important,wave-07,batch-085-expansion-wave-07-01
candidate-attribute-based-access-control,Attribute-Based Access Control,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,important,wave-07,batch-085-expansion-wave-07-01
candidate-policy-based-access-control,Policy-Based Access Control,concept,ideas-orientations,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,important,wave-07,batch-085-expansion-wave-07-01
candidate-privileged-access-management,Privileged Access Management,process,ways-of-working,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,important,wave-07,batch-085-expansion-wave-07-01
candidate-iam-engineer,IAM Engineer,role,people-capabilities,domain-ciberseguridad-riesgo,subdomain-identidad-acceso,important,wave-07,batch-085-expansion-wave-07-01
