candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-frontend,Frontend,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-052-expansion-wave-02-03
candidate-web-application,Web Application,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-website,Website,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-web-browser,Web Browser,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-document-object-model,Document Object Model,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-html,HTML,standard,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-css,CSS,standard,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-javascript,JavaScript,standard,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-typescript,TypeScript,standard,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-responsive-web-design,Responsive Web Design,practice,ways-of-working,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-single-page-application,Single-Page Application,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-multi-page-application,Multi-Page Application,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-server-side-rendering,Server-Side Rendering,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-053-expansion-wave-02-04
candidate-static-site-generation,Static Site Generation,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,essential,wave-02,batch-054-expansion-wave-02-05
candidate-progressive-web-app,Progressive Web App,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-web-component,Web Component,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-state-management,State Management,process,ways-of-working,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-client-side-routing,Client-Side Routing,concept,ideas-orientations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-web-developer,Web Developer,role,people-capabilities,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-frontend-architect,Frontend Architect,role,people-capabilities,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-cross-browser-compatibility,Cross-Browser Compatibility,practice,ways-of-working,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-frontend-framework,Frontend Framework,technology,specifications-implementations,domain-desarrollo-software,subdomain-desarrollo-web-frontend,important,wave-02,batch-054-expansion-wave-02-05
candidate-design-token,Design Token,practice,ways-of-working,domain-desarrollo-software,subdomain-desarrollo-web-frontend,specialized,wave-02,batch-054-expansion-wave-02-05
candidate-backend,Backend,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-054-expansion-wave-02-05
candidate-server,Server,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-054-expansion-wave-02-05
candidate-application-server,Application Server,technology,specifications-implementations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
candidate-web-server,Web Server,technology,specifications-implementations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
candidate-service,Service,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
candidate-microservice,Microservice,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
candidate-monolithic-application,Monolithic Application,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
candidate-modular-monolith,Modular Monolith,concept,ideas-orientations,domain-desarrollo-software,subdomain-backend-servicios,essential,wave-02,batch-055-expansion-wave-02-06
