candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-infrastructure,Infrastructure,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-data-center,Data Center,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-compute-resource,Compute Resource,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-block-storage,Block Storage,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-file-storage,File Storage,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-object-storage,Object Storage,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-cloud-provider,Cloud Provider,technology,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-public-cloud,Public Cloud,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-075-expansion-wave-05-05
candidate-private-cloud,Private Cloud,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-076-expansion-wave-05-06
candidate-hybrid-cloud,Hybrid Cloud,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-076-expansion-wave-05-06
candidate-multi-cloud,Multi-Cloud,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-076-expansion-wave-05-06
candidate-infrastructure-as-a-service,Infrastructure as a Service,service,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-076-expansion-wave-05-06
candidate-platform-as-a-service,Platform as a Service,platform,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,essential,wave-05,batch-076-expansion-wave-05-06
candidate-software-as-a-service,Software as a Service,service,specifications-implementations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,important,wave-05,batch-076-expansion-wave-05-06
candidate-cloud-region,Cloud Region,concept,ideas-orientations,domain-infraestructura-operacion,subdomain-infraestructura-virtualizacion-cloud,important,wave-05,batch-076-expansion-wave-05-06
