candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-software-engineering,Software Engineering,process,ways-of-working,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-requirement,Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-functional-requirement,Functional Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-non-functional-requirement,Non-Functional Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-business-requirement,Business Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-user-requirement,User Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-system-requirement,System Requirement,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-060-expansion-wave-03-04
candidate-acceptance-criterion,Acceptance Criterion,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-requirement-traceability,Requirement Traceability,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-requirements-management,Requirements Management,process,ways-of-working,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-requirements-validation,Requirements Validation,process,ways-of-working,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-requirements-verification,Requirements Verification,process,ways-of-working,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-use-case,Use Case,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-requirements-engineer,Requirements Engineer,role,people-capabilities,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-user-scenario,User Scenario,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-stakeholder,Stakeholder,role,people-capabilities,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-scope,Scope,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-constraint,Constraint,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,essential,wave-03,batch-061-expansion-wave-03-05
candidate-assumption,Assumption,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,important,wave-03,batch-061-expansion-wave-03-05
candidate-business-rule,Business Rule,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,important,wave-03,batch-062-expansion-wave-03-06
candidate-requirements-baseline,Requirements Baseline,artifact,results-measurement,domain-ingenieria-software,subdomain-ingenieria-requisitos,important,wave-03,batch-062-expansion-wave-03-06
candidate-change-request,Change Request,concept,ideas-orientations,domain-ingenieria-software,subdomain-ingenieria-requisitos,important,wave-03,batch-062-expansion-wave-03-06
