candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-ai-system,AI System,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-intelligent-agent,Intelligent Agent,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-knowledge-representation,Knowledge Representation,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-reasoning-system,Reasoning System,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-expert-system,Expert System,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-search-in-artificial-intelligence,Search in Artificial Intelligence,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-heuristic,Heuristic,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-planning-in-artificial-intelligence,Planning in Artificial Intelligence,process,ways-of-working,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-constraint-satisfaction-problem,Constraint Satisfaction Problem,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-knowledge-graph,Knowledge Graph,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,essential,wave-08,batch-096-expansion-wave-08-05
candidate-natural-language-processing,Natural Language Processing,process,ways-of-working,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-096-expansion-wave-08-05
candidate-computer-vision,Computer Vision,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-097-expansion-wave-08-06
candidate-speech-recognition,Speech Recognition,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-097-expansion-wave-08-06
candidate-recommender-system,Recommender System,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-097-expansion-wave-08-06
candidate-ai-researcher,AI Researcher,role,people-capabilities,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-097-expansion-wave-08-06
candidate-multi-agent-system,Multi-Agent System,concept,ideas-orientations,domain-inteligencia-artificial,subdomain-fundamentos-sistemas-inteligentes,important,wave-08,batch-097-expansion-wave-08-06
