candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-product-management,Product Management,process,ways-of-working,domain-producto-experiencia,subdomain-producto-digital,essential,wave-09,batch-105-expansion-wave-09-07
candidate-product-owner,Product Owner,role,people-capabilities,domain-producto-experiencia,subdomain-producto-digital,essential,wave-09,batch-105-expansion-wave-09-07
candidate-product-strategy,Product Strategy,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,essential,wave-09,batch-105-expansion-wave-09-07
candidate-product-roadmap,Product Roadmap,artifact,results-measurement,domain-producto-experiencia,subdomain-producto-digital,essential,wave-10,batch-106-expansion-wave-10-01
candidate-product-discovery,Product Discovery,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,essential,wave-10,batch-106-expansion-wave-10-01
candidate-product-delivery,Product Delivery,process,ways-of-working,domain-producto-experiencia,subdomain-producto-digital,essential,wave-10,batch-106-expansion-wave-10-01
candidate-minimum-viable-product,Minimum Viable Product,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,essential,wave-10,batch-106-expansion-wave-10-01
candidate-product-market-fit,Product–Market Fit,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,important,wave-10,batch-106-expansion-wave-10-01
candidate-outcome,Outcome,concept,ideas-orientations,domain-producto-experiencia,subdomain-producto-digital,important,wave-10,batch-106-expansion-wave-10-01
candidate-product-operations-manager,Product Operations Manager,role,people-capabilities,domain-producto-experiencia,subdomain-producto-digital,important,wave-10,batch-106-expansion-wave-10-01
candidate-product-metric,Product Metric,metric,results-measurement,domain-producto-experiencia,subdomain-producto-digital,important,wave-10,batch-106-expansion-wave-10-01
candidate-user-experience,User Experience,concept,ideas-orientations,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-106-expansion-wave-10-01
candidate-user-interface,User Interface,concept,ideas-orientations,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-106-expansion-wave-10-01
candidate-ux-researcher,UX Researcher,role,people-capabilities,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-106-expansion-wave-10-01
candidate-product-designer,Product Designer,role,people-capabilities,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-106-expansion-wave-10-01
candidate-information-architecture,Information Architecture,architectural-style,solutions-structures,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-107-expansion-wave-10-02
candidate-service-designer,Service Designer,role,people-capabilities,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-107-expansion-wave-10-02
candidate-persona,Persona,concept,ideas-orientations,domain-producto-experiencia,subdomain-investigacion-ux,essential,wave-10,batch-107-expansion-wave-10-02
