candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-osi-model,OSI Model,model,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-tcp-ip-model,TCP/IP Model,model,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-network-protocol,Network Protocol,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-packet,Packet,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-frame,Frame,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-port,Port,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-socket,Socket,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-mac-address,MAC Address,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-ip-address,IP Address,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-ipv4,IPv4,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,essential,wave-04,batch-070-expansion-wave-04-07
candidate-ipv6,IPv6,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-04,batch-070-expansion-wave-04-07
candidate-address-resolution-protocol,Address Resolution Protocol,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-04,batch-070-expansion-wave-04-07
candidate-internet-control-message-protocol,Internet Control Message Protocol,protocol,specifications-implementations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-05,batch-071-expansion-wave-05-01
candidate-network-layer,Network Layer,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-05,batch-071-expansion-wave-05-01
candidate-transport-layer,Transport Layer,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-05,batch-071-expansion-wave-05-01
candidate-application-layer,Application Layer,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-fundamentos-protocolos-red,important,wave-05,batch-071-expansion-wave-05-01
candidate-local-area-network,Local Area Network,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
candidate-wide-area-network,Wide Area Network,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
candidate-virtual-local-area-network,Virtual Local Area Network,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
candidate-subnet,Subnet,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
candidate-subnet-mask,Subnet Mask,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
candidate-default-gateway,Default Gateway,concept,ideas-orientations,domain-redes-telecomunicaciones,subdomain-redes-empresariales,essential,wave-05,batch-071-expansion-wave-05-01
