candidate_id,canonical_name,type,family,primary_domain,subdomain,priority,wave,recommended_batch
candidate-hardware,Hardware,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-processor-core,Processor Core,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-register,Register,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-instruction,Instruction,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-machine-code,Machine Code,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-arithmetic-logic-unit,Arithmetic Logic Unit,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-control-unit,Control Unit,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-system-bus,System Bus,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-motherboard,Motherboard,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,essential,wave-01,batch-048-expansion-wave-01-06
candidate-random-access-memory,Random-Access Memory,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,wave-01,batch-048-expansion-wave-01-06
candidate-cache-memory,Cache Memory,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,wave-01,batch-048-expansion-wave-01-06
candidate-persistent-storage,Persistent Storage,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,wave-01,batch-048-expansion-wave-01-06
candidate-solid-state-drive,Solid-State Drive,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,wave-01,batch-049-expansion-wave-01-07
candidate-graphics-processing-unit,Graphics Processing Unit,technology,specifications-implementations,domain-sistemas-computo-ciberfisicos,subdomain-hardware-arquitectura-computadores,important,wave-01,batch-049-expansion-wave-01-07
